index,age_end,age_start,age_weights,area,data_type,effective_sample_size,lower_ci,sex,standard_error,upper_ci,value,year_end,year_start,z_bias
48,24,15,,CAN,p,696.0,,total,-99.0,,0.0,1998,1998,1
49,34,25,,CAN,p,772.0,,total,-99.0,,0.003,1998,1998,1
50,44,35,,CAN,p,888.0,,total,-99.0,,0.0043,1998,1998,1
51,54,45,,CAN,p,701.0,,total,-99.0,,0.0021,1998,1998,1
52,20,0,,CAN,p,315.0,,total,-99.0,,0.0222,1999,1999,0
53,29,17,,CAN,p,18495.0,,female,-99.0,,0.0002,2004,1998,1
54,29,17,,CAN,p,13940.0,,male,-99.0,,0.0005,2004,1998,1
55,49,30,,CAN,p,10732.0,,female,-99.0,,0.0023,2004,1998,1
56,49,30,,CAN,p,7986.0,,male,-99.0,,0.0038,2004,1998,1
57,70,50,,CAN,p,2562.0,,female,-99.0,,0.0012,2004,1998,1
58,70,50,,CAN,p,2490.0,,male,-99.0,,0.0028,2004,1998,1
59,65,20,,CHL,p,1076.0,,total,-99.0,,0.0074,2000,2000,0
60,49,40,,CHN,p,13620.0,,total,-99.0,,0.0046,2007,2007,1
61,49,18,,CHN,p,4549.0,,total,-99.0,,0.0121,1992,1991,1
62,52,18,,CHN,p,1875.0,,total,-99.0,,0.0224,1995,1995,1
63,60,1,,CHN,p,258.0,,male,-99.0,,0.0271,1990,1989,1
64,60,1,,CHN,p,180.0,,female,-99.0,,0.0111,1990,1989,1
65,40,21,,CHN,p,49.0,,total,-99.0,,0.0,1996,1996,1
66,55,41,,CHN,p,51.0,,total,-99.0,,0.0,1996,1996,1
67,14,1,,CHN,p,49.0,,male,-99.0,,0.02,1991,1991,1
68,19,15,,CHN,p,27.0,,male,-99.0,,0.0,1991,1991,1
69,29,20,,CHN,p,29.0,,male,-99.0,,0.0,1991,1991,1
70,39,30,,CHN,p,31.0,,male,-99.0,,0.032,1991,1991,1
71,49,40,,CHN,p,29.0,,male,-99.0,,0.034,1991,1991,1
72,59,50,,CHN,p,36.0,,male,-99.0,,0.028,1991,1991,1
73,70,60,,CHN,p,57.0,,male,-99.0,,0.053,1991,1991,1
74,14,1,,CHN,p,41.0,,female,-99.0,,0.0,1991,1991,1
75,19,15,,CHN,p,23.0,,female,-99.0,,0.0,1991,1991,1
76,29,20,,CHN,p,27.0,,female,-99.0,,0.0,1991,1991,1
77,39,30,,CHN,p,19.0,,female,-99.0,,0.053,1991,1991,1
78,49,40,,CHN,p,21.0,,female,-99.0,,0.0,1991,1991,1
79,59,50,,CHN,p,26.0,,female,-99.0,,0.0,1991,1991,1
80,70,60,,CHN,p,23.0,,female,-99.0,,0.043,1991,1991,1
81,60,35,,CHN,p,6095.0,,total,-99.0,,0.1505,2001,2001,0
82,59,0,,CHN,p,166.0,,total,-99.0,,0.084,2000,2000,0
83,64,60,,CHN,p,105.0,,total,-99.0,,0.133,2000,2000,0
84,69,65,,CHN,p,90.0,,total,-99.0,,0.111,2000,2000,0
85,74,70,,CHN,p,82.0,,total,-99.0,,0.061,2000,2000,0
86,80,75,,CHN,p,57.0,,total,-99.0,,0.088,2000,2000,0
87,70,16,,CMR,p,20.0,,total,-99.0,,0.0984,1997,1990,0
88,6,4,,CMR,p,92.0,,male,-99.0,,0.087,1992,1992,0
89,6,4,,CMR,p,75.0,,female,-99.0,,0.04,1992,1992,0
90,8,7,,CMR,p,74.0,,male,-99.0,,0.1216,1992,1992,0
91,8,7,,CMR,p,104.0,,female,-99.0,,0.1442,1992,1992,0
92,11,9,,CMR,p,113.0,,male,-99.0,,0.2035,1992,1992,0
93,11,9,,CMR,p,124.0,,female,-99.0,,0.1855,1992,1992,0
94,14,12,,CMR,p,46.0,,male,-99.0,,0.1957,1992,1992,0
95,14,12,,CMR,p,68.0,,female,-99.0,,0.1618,1992,1992,0
96,19,10,,CMR,p,68.0,,female,-99.0,,0.0004,1992,1991,1
97,29,20,,CMR,p,167.0,,female,-99.0,,0.0006,1992,1991,1
98,39,30,,CMR,p,105.0,,female,-99.0,,0.0011,1992,1991,1
99,49,40,,CMR,p,40.0,,female,-99.0,,0.0073,1992,1991,1
100,79,18,,DEU,p,6748.0,,total,-99.0,,0.0028,1998,1998,0
101,49,15,,DNK,p,4098.0,,female,-99.0,,0.0007,2001,2000,1
102,49,24,,EGY,p,1376.0,,male,-99.0,,0.0967,2006,2006,1
103,49,24,,EGY,p,1024.0,,female,-99.0,,0.0576,2006,2006,1
104,73,5,,EGY,p,84.0,,total,-99.0,,0.143,2005,2005,0
105,9,0,,EGY,p,712.0,,total,-99.0,,0.07,1997,1997,0
106,19,10,,EGY,p,1298.0,,total,-99.0,,0.099,1997,1997,0
107,39,20,,EGY,p,1142.0,,total,-99.0,,0.276,1997,1997,0
108,80,40,,EGY,p,847.0,,total,-99.0,,0.567,1997,1997,0
109,4,0,,EGY,p,752.0,,total,-99.0,,0.05,2000,2000,0
110,9,5,,EGY,p,720.0,,total,-99.0,,0.02,2000,2000,0
111,14,10,,EGY,p,742.0,,total,-99.0,,0.03,2000,2000,0
112,19,15,,EGY,p,680.0,,total,-99.0,,0.04,2000,2000,0
113,24,20,,EGY,p,581.0,,total,-99.0,,0.05,2000,2000,0
114,29,25,,EGY,p,461.0,,total,-99.0,,0.03,2000,2000,0
115,34,30,,EGY,p,373.0,,total,-99.0,,0.12,2000,2000,0
116,39,35,,EGY,p,366.0,,total,-99.0,,0.18,2000,2000,0
117,44,40,,EGY,p,341.0,,total,-99.0,,0.29,2000,2000,0
118,49,45,,EGY,p,292.0,,total,-99.0,,0.16,2000,2000,0
119,54,50,,EGY,p,232.0,,total,-99.0,,0.18,2000,2000,0
120,59,55,,EGY,p,173.0,,total,-99.0,,0.15,2000,2000,0
121,64,60,,EGY,p,149.0,,total,-99.0,,0.2,2000,2000,0
122,70,65,,EGY,p,171.0,,total,-99.0,,0.2,2000,2000,0
123,60,17,,EGY,p,283.0,,total,-99.0,,0.208,1994,1992,1
124,22,19,,EGY,p,96.0,,total,-99.0,,0.11,1994,1992,1
125,26,23,,EGY,p,40.0,,total,-99.0,,0.2,1994,1992,1
126,30,27,,EGY,p,40.0,,total,-99.0,,0.65,1994,1992,1
127,40,31,,EGY,p,146.0,,total,-99.0,,0.51,1994,1992,1
128,50,41,,EGY,p,103.0,,total,-99.0,,0.5,1994,1992,1
129,60,51,,EGY,p,70.0,,total,-99.0,,0.4,1994,1992,1
130,70,61,,EGY,p,47.0,,total,-99.0,,0.12,1994,1992,1
131,20,16,,EGY,p,560.0,,female,-99.0,,0.14,2003,1997,1
132,25,21,,EGY,p,479.0,,female,-99.0,,0.13,2003,1997,1
133,30,26,,EGY,p,389.0,,female,-99.0,,0.18,2003,1997,1
134,35,31,,EGY,p,321.0,,female,-99.0,,0.25,2003,1997,1
135,48,35,,EGY,p,838.0,,female,-99.0,,0.3,2003,1997,1
136,2,0,,EGY,p,114.0,,total,-99.0,,0.06,1999,1999,1
137,20,3,,EGY,p,94.0,,total,-99.0,,0.03,1999,1999,1
138,35,22,,EGY,p,186.0,,total,-99.0,,0.18,1999,1999,1
139,70,35,,EGY,p,72.0,,total,-99.0,,0.42,1999,1999,1
140,75,0,,ESP,p,232.0,,male,-99.0,,0.0086,1989,1989,1
141,75,0,,ESP,p,265.0,,female,-99.0,,0.0038,1989,1989,1
142,9,5,,ESP,p,151.0,,male,-99.0,,0.0,1996,1996,0
143,14,10,,ESP,p,304.0,,male,-99.0,,0.0,1996,1996,0
144,24,15,,ESP,p,60.0,,male,-99.0,,0.0,1996,1996,0
145,34,25,,ESP,p,120.0,,male,-99.0,,0.0003,1996,1996,0
146,44,35,,ESP,p,104.0,,male,-99.0,,0.0005,1996,1996,0
147,54,45,,ESP,p,96.0,,male,-99.0,,0.0001,1996,1996,0
148,64,55,,ESP,p,103.0,,male,-99.0,,0.0004,1996,1996,0
149,80,65,,ESP,p,127.0,,male,-99.0,,0.0004,1996,1996,0
150,9,5,,ESP,p,111.0,,female,-99.0,,0.0,1996,1996,0
151,14,10,,ESP,p,318.0,,female,-99.0,,0.0,1996,1996,0
152,24,15,,ESP,p,58.0,,female,-99.0,,0.0,1996,1996,0
153,34,25,,ESP,p,96.0,,female,-99.0,,0.0002,1996,1996,0
154,44,35,,ESP,p,118.0,,female,-99.0,,0.0001,1996,1996,0
155,54,45,,ESP,p,126.0,,female,-99.0,,0.0002,1996,1996,0
156,64,55,,ESP,p,121.0,,female,-99.0,,0.0006,1996,1996,0
157,80,65,,ESP,p,129.0,,female,-99.0,,0.0006,1996,1996,0
158,64,5,,ESP,p,1077.0,,female,-99.0,,0.0186,1996,1996,0
159,20,0,,ESP,p,1519.0,,male,-99.0,,0.0086,1990,1989,1
160,30,21,,ESP,p,4310.0,,male,-99.0,,0.0118,1990,1989,1
161,40,31,,ESP,p,4507.0,,male,-99.0,,0.0089,1990,1989,1
162,50,41,,ESP,p,4088.0,,male,-99.0,,0.01,1990,1989,1
163,70,51,,ESP,p,3308.0,,male,-99.0,,0.023,1990,1989,1
164,20,0,,ESP,p,1120.0,,female,-99.0,,0.0018,1990,1989,1
165,30,21,,ESP,p,2659.0,,female,-99.0,,0.0049,1990,1989,1
166,40,31,,ESP,p,3003.0,,female,-99.0,,0.0053,1990,1989,1
167,50,41,,ESP,p,2817.0,,female,-99.0,,0.0128,1990,1989,1
168,70,51,,ESP,p,2864.0,,female,-99.0,,0.0279,1990,1989,1
169,50,20,,ESP,p,12499.0,,female,-99.0,,0.0118,1990,1989,1
170,29,18,,ESP,p,504.0,,total,-99.0,,0.002,1993,1992,0
171,49,30,,ESP,p,1156.0,,total,-99.0,,0.01,1993,1992,0
172,65,50,,ESP,p,543.0,,total,-99.0,,0.017,1993,1992,0
173,40,18,,ESP,p,397.0,,female,-99.0,,0.0076,1992,1992,1
174,74,17,,ESP,p,2886.0,,total,-99.0,,0.0118,1991,1986,1
175,4,0,,ETH,p,216.0,,male,-99.0,,0.0,1994,1994,1
176,9,5,,ETH,p,283.0,,male,-99.0,,0.0035,1994,1994,1
177,14,10,,ETH,p,348.0,,male,-99.0,,0.0057,1994,1994,1
178,19,15,,ETH,p,318.0,,male,-99.0,,0.0,1994,1994,1
179,24,20,,ETH,p,219.0,,male,-99.0,,0.0,1994,1994,1
180,29,25,,ETH,p,119.0,,male,-99.0,,0.0168,1994,1994,1
181,34,30,,ETH,p,102.0,,male,-99.0,,0.0098,1994,1994,1
182,39,35,,ETH,p,81.0,,male,-99.0,,0.0247,1994,1994,1
183,44,40,,ETH,p,60.0,,male,-99.0,,0.0333,1994,1994,1
184,49,45,,ETH,p,75.0,,male,-99.0,,0.0133,1994,1994,1
185,4,0,,ETH,p,185.0,,female,-99.0,,0.0,1994,1994,1
186,9,5,,ETH,p,311.0,,female,-99.0,,0.0,1994,1994,1
187,14,10,,ETH,p,425.0,,female,-99.0,,0.0,1994,1994,1
188,19,15,,ETH,p,567.0,,female,-99.0,,0.0024,1994,1994,1
189,24,20,,ETH,p,373.0,,female,-99.0,,0.0035,1994,1994,1
190,29,25,,ETH,p,263.0,,female,-99.0,,0.008,1994,1994,1
191,34,30,,ETH,p,173.0,,female,-99.0,,0.0116,1994,1994,1
192,39,35,,ETH,p,236.0,,female,-99.0,,0.0424,1994,1994,1
193,44,40,,ETH,p,129.0,,female,-99.0,,0.0465,1994,1994,1
194,49,45,,ETH,p,108.0,,female,-99.0,,0.037,1994,1994,1
195,60,45,,FRA,p,120.0,,male,-99.0,,0.0083,1996,1996,1
196,29,20,,FRA,p,765.0,,male,-99.0,,0.0144,1994,1994,0
197,39,30,,FRA,p,781.0,,male,-99.0,,0.0128,1994,1994,0
198,49,40,,FRA,p,782.0,,male,-99.0,,0.0051,1994,1994,0
199,59,50,,FRA,p,802.0,,male,-99.0,,0.0075,1994,1994,0
200,29,20,,FRA,p,800.0,,female,-99.0,,0.0138,1994,1994,0
201,39,30,,FRA,p,774.0,,female,-99.0,,0.0103,1994,1994,0
202,49,40,,FRA,p,785.0,,female,-99.0,,0.014,1994,1994,0
203,59,50,,FRA,p,794.0,,female,-99.0,,0.0139,1994,1994,0
204,15,6,,FRA,p,136.0,,total,-99.0,,0.0,2002,2001,1
205,25,16,,FRA,p,786.0,,total,-99.0,,0.008,2002,2001,1
206,35,26,,FRA,p,653.0,,total,-99.0,,0.023,2002,2001,1
207,45,36,,FRA,p,989.0,,total,-99.0,,0.046,2002,2001,1
208,55,46,,FRA,p,877.0,,total,-99.0,,0.026,2002,2001,1
209,65,56,,FRA,p,340.0,,total,-99.0,,0.041,2002,2001,1
210,80,65,,FRA,p,66.0,,total,-99.0,,0.076,2002,2001,1
211,19,14,,GBR,p,5400.0,,female,-99.0,,0.0011,1996,1996,1
212,24,20,,GBR,p,14739.0,,female,-99.0,,0.0028,1996,1996,1
213,29,25,,GBR,p,13037.0,,female,-99.0,,0.0027,1996,1996,1
214,34,30,,GBR,p,5150.0,,female,-99.0,,0.0049,1996,1996,1
215,39,35,,GBR,p,1736.0,,female,-99.0,,0.0052,1996,1996,1
216,49,40,,GBR,p,879.0,,female,-99.0,,0.0011,1996,1996,1
217,95,16,,GBR,p,2996.0,,male,-99.0,,0.0107,1996,1996,1
218,95,16,,GBR,p,3405.0,,female,-99.0,,0.0038,1996,1996,1
219,99,16,,GBR,p,1808.0,,male,-99.0,,0.016,1986,1986,1
220,99,16,,GBR,p,1839.0,,female,-99.0,,0.0054,1986,1986,1
221,99,16,,GBR,p,2581.0,,male,-99.0,,0.0062,1991,1991,1
222,99,16,,GBR,p,3053.0,,female,-99.0,,0.0107,1991,1991,1
223,14,1,,GBR,p,568.0,,male,-99.0,,0.0299,2003,2002,1
224,24,15,,GBR,p,3427.0,,male,-99.0,,0.0581,2003,2002,1
225,34,25,,GBR,p,6862.0,,male,-99.0,,0.0012,2003,2002,1
226,44,35,,GBR,p,6241.0,,male,-99.0,,0.1146,2003,2002,1
227,54,45,,GBR,p,4135.0,,male,-99.0,,0.0667,2003,2002,1
228,64,55,,GBR,p,3365.0,,male,-99.0,,0.0259,2003,2002,1
229,74,65,,GBR,p,2838.0,,male,-99.0,,0.0144,2003,2002,1
230,80,75,,GBR,p,2059.0,,male,-99.0,,0.0112,2003,2002,1
231,14,1,,GBR,p,486.0,,female,-99.0,,0.0226,2003,2002,1
232,24,15,,GBR,p,4153.0,,female,-99.0,,0.0354,2003,2002,1
233,34,25,,GBR,p,6347.0,,female,-99.0,,0.117,2003,2002,1
234,44,35,,GBR,p,4818.0,,female,-99.0,,0.0608,2003,2002,1
235,54,45,,GBR,p,3359.0,,female,-99.0,,0.0348,2003,2002,1
236,64,55,,GBR,p,3055.0,,female,-99.0,,0.016,2003,2002,1
237,74,65,,GBR,p,2367.0,,female,-99.0,,0.0156,2003,2002,1
238,80,75,,GBR,p,2235.0,,female,-99.0,,0.0085,2003,2002,1
239,55,15,,GBR,p,118.0,,total,-99.0,,0.0847,1984,1983,1
240,19,14,,GBR,p,2029.0,,female,-99.0,,0.0,2000,2000,1
241,24,20,,GBR,p,4926.0,,female,-99.0,,0.0037,2000,2000,1
242,29,25,,GBR,p,7751.0,,female,-99.0,,0.004,2000,2000,1
243,34,30,,GBR,p,9370.0,,female,-99.0,,0.0032,2000,2000,1
244,49,35,,GBR,p,5518.0,,female,-99.0,,0.0013,2000,2000,1
245,49,15,,GBR,p,297.0,,female,-99.0,,0.0101,1993,1993,1
246,33,15,,GBR,p,69.0,,total,-99.0,,0.058,2005,2002,1
247,20,16,,GHA,p,33.0,,female,-99.0,,0.03,2001,2000,1
248,25,21,,GHA,p,126.0,,female,-99.0,,0.04,2001,2000,1
249,30,26,,GHA,p,144.0,,female,-99.0,,0.049,2001,2000,1
250,35,31,,GHA,p,100.0,,female,-99.0,,0.07,2001,2000,1
251,40,36,,GHA,p,71.0,,female,-99.0,,0.07,2001,2000,1
252,49,41,,GHA,p,288.0,,female,-99.0,,0.071,2001,2000,1
253,49,15,,GHA,p,638.0,,female,-99.0,,0.0251,2001,2001,1
254,7,6,,GHA,p,98.0,,total,-99.0,,0.031,1996,1996,0
255,9,8,,GHA,p,139.0,,total,-99.0,,0.065,1996,1996,0
256,11,10,,GHA,p,154.0,,total,-99.0,,0.033,1996,1996,0
257,13,12,,GHA,p,186.0,,total,-99.0,,0.068,1996,1996,0
258,15,14,,GHA,p,127.0,,total,-99.0,,0.086,1996,1996,0
259,18,16,,GHA,p,99.0,,total,-99.0,,0.051,1996,1996,0
260,25,18,,GMB,p,458.0,,total,-99.0,,0.0086,2002,2002,1
261,33,26,,GMB,p,232.0,,total,-99.0,,0.0127,2002,2002,1
262,41,34,,GMB,p,158.0,,total,-99.0,,0.0192,2002,2002,1
263,70,42,,GMB,p,52.0,,total,-99.0,,0.0,2002,2002,1
264,80,30,,GRC,p,816.0,,total,-99.0,,0.006,1996,1996,1
265,60,15,,GRC,p,1500.0,,total,-99.0,,0.0053,1998,1997,0
266,44,15,,GRC,p,107.0,,male,-99.0,,0.0,1997,1997,0
267,64,45,,GRC,p,90.0,,male,-99.0,,0.0111,1997,1997,0
268,80,65,,GRC,p,86.0,,male,-99.0,,0.0581,1997,1997,0
269,44,15,,GRC,p,192.0,,female,-99.0,,0.0,1997,1997,0
270,64,45,,GRC,p,141.0,,female,-99.0,,0.0071,1997,1997,0
271,80,65,,GRC,p,102.0,,female,-99.0,,0.0196,1997,1997,0
272,65,5,,GRC,p,83.0,,male,-99.0,,0.0241,1995,1994,0
273,65,5,,GRC,p,81.0,,female,-99.0,,0.037,1995,1994,0
274,38,19,,GRC,p,263.0,,male,-99.0,,0.0038,1998,1998,1
275,49,15,,HTI,p,500.0,,female,-99.0,,0.004,1990,1988,1
276,86,7,,IDN,p,581.0,,total,-99.0,,0.0017,2005,2005,1
277,50,15,,IDN,p,985.0,,total,-99.0,,0.0386,1994,1994,0
278,19,0,,IDN,p,70.0,,total,-99.0,,0.029,1990,1990,1
279,29,20,,IDN,p,28.0,,total,-99.0,,0.036,1990,1990,1
280,39,30,,IDN,p,38.0,,total,-99.0,,0.0,1990,1990,1
281,49,40,,IDN,p,40.0,,total,-99.0,,0.05,1990,1990,1
282,59,50,,IDN,p,20.0,,total,-99.0,,0.05,1990,1990,1
283,50,35,,IDN,p,8825.0,,total,-99.0,,0.004,1997,1995,1
284,49,15,,IND,p,425.0,,female,-99.0,,0.0,1998,1998,1
285,9,0,,IRN,p,8.0,,total,-99.0,,0.0,2001,2000,1
286,19,10,,IRN,p,15.0,,total,-99.0,,0.0,2001,2000,1
287,29,20,,IRN,p,40.0,,total,-99.0,,0.025,2001,2000,1
288,39,30,,IRN,p,56.0,,total,-99.0,,0.072,2001,2000,1
289,49,40,,IRN,p,33.0,,total,-99.0,,0.03,2001,2000,1
290,59,50,,IRN,p,14.0,,total,-99.0,,0.071,2001,2000,1
291,69,60,,IRN,p,4.0,,total,-99.0,,0.0,2001,2000,1
292,80,70,,IRN,p,3.0,,total,-99.0,,0.0,2001,2000,1
293,49,15,,IRQ,p,3491.0,,female,-99.0,,0.0321,2002,2002,1
294,60,0,,ITA,p,184.0,,total,-99.0,,0.038,1997,1996,0
295,49,15,,ITA,p,1804.0,,female,-99.0,,0.021,1996,1996,1
296,90,60,,ITA,p,496.0,,total,-99.0,,0.1149,2000,2000,1
297,88,1,,ITA,p,677.0,,total,-99.0,,0.0236,2002,2002,1
298,63,2,,ITA,p,63.0,,total,-99.0,,0.0317,1993,1993,1
299,24,15,,ITA,p,230.0,,male,-99.0,,0.0087,1995,1994,1
300,34,25,,ITA,p,212.0,,male,-99.0,,0.0425,1995,1994,1
301,44,35,,ITA,p,173.0,,male,-99.0,,0.0173,1995,1994,1
302,54,45,,ITA,p,140.0,,male,-99.0,,0.0214,1995,1994,1
303,64,55,,ITA,p,84.0,,male,-99.0,,0.0357,1995,1994,1
304,67,65,,ITA,p,22.0,,male,-99.0,,0.0,1995,1994,1
305,24,15,,ITA,p,315.0,,female,-99.0,,0.0095,1995,1994,1
306,34,25,,ITA,p,391.0,,female,-99.0,,0.0179,1995,1994,1
307,44,35,,ITA,p,285.0,,female,-99.0,,0.0632,1995,1994,1
308,54,45,,ITA,p,189.0,,female,-99.0,,0.0476,1995,1994,1
309,64,55,,ITA,p,87.0,,female,-99.0,,0.1264,1995,1994,1
310,67,65,,ITA,p,26.0,,female,-99.0,,0.1154,1995,1994,1
311,20,16,,ITA,p,25.0,,total,-99.0,,0.0741,1997,1996,1
312,30,21,,ITA,p,94.0,,total,-99.0,,0.0476,1997,1996,1
313,40,31,,ITA,p,80.0,,total,-99.0,,0.0375,1997,1996,1
314,50,41,,ITA,p,73.0,,total,-99.0,,0.0698,1997,1996,1
315,20,12,,ITA,p,183.0,,male,-99.0,,0.0055,1995,1994,0
316,30,21,,ITA,p,582.0,,male,-99.0,,0.0344,1995,1994,0
317,40,31,,ITA,p,370.0,,male,-99.0,,0.0006,1995,1994,0
318,50,41,,ITA,p,254.0,,male,-99.0,,0.0315,1995,1994,0
319,60,51,,ITA,p,1516.0,,male,-99.0,,0.0026,1995,1994,0
320,70,61,,ITA,p,50.0,,male,-99.0,,0.02,1995,1994,0
321,20,12,,ITA,p,229.0,,female,-99.0,,0.0044,1995,1994,0
322,30,21,,ITA,p,726.0,,female,-99.0,,0.0096,1995,1994,0
323,40,31,,ITA,p,381.0,,female,-99.0,,0.0131,1995,1994,0
324,50,41,,ITA,p,221.0,,female,-99.0,,0.0226,1995,1994,0
325,60,51,,ITA,p,143.0,,female,-99.0,,0.028,1995,1994,0
326,70,61,,ITA,p,29.0,,female,-99.0,,0.0757,1995,1994,0
327,74,18,,ITA,p,599.0,,total,-99.0,,0.0267,1994,1992,1
328,75,18,,ITA,p,285.0,,total,-99.0,,0.0281,1995,1995,1
329,39,30,,ITA,p,12.0,,total,-99.0,,0.0,1989,1989,1
330,49,40,,ITA,p,41.0,,total,-99.0,,0.0732,1989,1989,1
331,59,50,,ITA,p,53.0,,total,-99.0,,0.0755,1989,1989,1
332,70,60,,ITA,p,100.0,,total,-99.0,,0.15,1989,1989,1
333,60,39,,ITA,p,330.0,,male,-99.0,,0.0697,2005,2005,0
334,60,39,,ITA,p,367.0,,female,-99.0,,0.101,2005,2005,0
335,14,14,,ITA,p,486.0,,male,-99.0,,0.0041,1993,1993,0
336,14,14,,ITA,p,529.0,,female,-99.0,,0.0038,1993,1993,0
337,30,20,,ITA,p,940.0,,total,-99.0,,0.0098,1987,1983,0
338,40,31,,ITA,p,839.0,,total,-99.0,,0.013,1987,1983,0
339,50,41,,ITA,p,785.0,,total,-99.0,,0.027,1987,1983,0
340,60,51,,ITA,p,759.0,,total,-99.0,,0.0314,1987,1983,0
341,69,61,,ITA,p,561.0,,total,-99.0,,0.028,1987,1983,0
342,88,28,,ITA,p,47.0,,total,-99.0,,0.0324,2004,2004,1
343,60,18,,ITA,p,39.0,,total,-99.0,,0.0047,1992,1992,1
344,49,15,,ITA,p,5672.0,,female,-99.0,,0.0071,1992,1992,1
345,39,30,,ITA,p,218.0,,male,-99.0,,0.0275,2001,2000,0
346,49,40,,ITA,p,310.0,,male,-99.0,,0.071,2001,2000,0
347,59,50,,ITA,p,326.0,,male,-99.0,,0.0675,2001,2000,0
348,39,30,,ITA,p,216.0,,female,-99.0,,0.0185,2001,2000,0
349,49,40,,ITA,p,450.0,,female,-99.0,,0.0489,2001,2000,0
350,59,50,,ITA,p,388.0,,female,-99.0,,0.0567,2001,2000,0
351,55,35,,ITA,p,55.0,,total,-99.0,,0.0545,2001,2000,0
352,65,56,,ITA,p,97.0,,total,-99.0,,0.1546,2001,2000,0
353,75,66,,ITA,p,119.0,,total,-99.0,,0.0018,2001,2000,0
354,80,76,,ITA,p,80.0,,total,-99.0,,0.275,2001,2000,0
355,60,40,,ITA,p,143.0,,male,-99.0,,0.014,2001,2001,1
356,60,40,,ITA,p,80.0,,female,-99.0,,0.0125,2001,2001,1
